"Reporting Month;""Sales Month"";Platform;Country/Region;""Label Name"";""Artist Name"";""Release title"";""Track title"";UPC;ISRC;""Release Catalog nb"";""Release Type"";""Sales Type"";Quantity;""Client Payment Currency"";""Net Revenue"";Label_Rate",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Max Mazed"";""Echoes For the Sleepless"";""Chasing Dreams"";3618023107933;QZ-NWY-21-45920;RMITMAX02;""Music Release"";Stream;1;EUR;0.001044494544;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Canada;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Tumi Ki Jante"";3618023588022;QZ-MER-22-66880;RMITAHS027;""Music Release"";Stream;2;EUR;0.007074774997;90.00",
"01/11/2025;01/09/2025;TikTok;Bangladesh;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Creation;1;EUR;0.000930076336;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Germany;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;3;EUR;0.007156905141;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Nodi Tumi Apon Mone"";""Nodi Tumi Apon Mone"";3617668678907;FR-10S-25-27145;RMITRB02;""Music Release"";Stream;1;EUR;0.000047898648;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Philippines;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;1;EUR;0.000312334622;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";Nepal;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.001163618602;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";Prithibi;MARS;3618023107919;QZ-RP5-25-86526;RMITMAX01;""Music Release"";Stream;2;EUR;0.000095797296;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";""Ei Shob"";""Ei Shob"";3618023426096;QZ-NWU-22-02702;RMITAHS016;""Music Release"";Stream;7;EUR;0.006313251590;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";India;""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Stream;1;EUR;0.001044494544;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Cyprus;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;2;EUR;0.000737008954;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Oman;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;4;EUR;0.000528633339;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";France;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;7;EUR;0.005938632193;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Australia;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;3;EUR;0.021817280879;90.00",
"01/11/2025;01/11/2025;""Apple Music"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;12;EUR;0.008479544232;90.00",
