"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue";Label_Rate
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.000480822215;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";"Rajib Bhattacharjee";"Amari Mon";"Amari Mon";3617668990658;FR-10S-25-50218;RMITRB05;"Music Release";Stream;8;EUR;0.000377006773;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Singapore;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;2;EUR;0.000029150912;80.00
01/01/2025;01/01/2025;"YouTube UGC";Cambodia;"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;1;EUR;0.001985562915;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"United Kingdom";"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;4;EUR;0.000054046208;80.00
01/01/2025;01/01/2025;"Apple Music";India;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Mon jarai kathai kathai";"Mon jarai kathai kathai";3617666955628;DG-A0S-24-33927;RMITRC08;"Music Release";Stream;1;EUR;0.000580980304;80.00
01/01/2025;01/01/2025;"YouTube UGC";Italy;"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;3;EUR;0.000209069526;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Canada;"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;1;EUR;0.001488938619;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"United Arab Emirates";"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Rajib Bhattacharjee";"Amari Mon";"Amari Mon";3617668990658;FR-10S-25-50218;RMITRB05;"Music Release";Stream;13;EUR;0.000586031272;80.00
