"Statement Period","Transaction Month","Label","Artist","Release Title","Track Title","UPC","ISRC","Release Catalog ID","Track Catalog ID","Format","Release ID","Track ID","Account ID","Contract ID","Payee ID","Service","Channel","Territory","Quantity","Gross Revenue in USD","Mechanical Royalties Deducted","Contract Rate %","Net Revenue in USD","Your Share %","Amount Due in USD","Opening Balance in USD","Closing Balance in USD"
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","United States","5","0.0128706119","0.0000000000","75.0000000000","0.0096529589","100.0000000000","0.0096529589","0.0440000000","2.6429664408"
"2025-04","2025-02","RoyalMotion IT","Salehin I Apon","Icarus Er Dana","Icarus Er Dana","7316479983168","HUDHU2519985","RMITSIA01","RMITSIA01","Track","2677767.0000000000","6105967","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","United States","4","0.0003323500","0.0000000000","75.0000000000","0.0002492625","100.0000000000","0.0002492625","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Italy","3","0.0001695750","0.0000000000","75.0000000000","0.0001271812","100.0000000000","0.0001271812","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Qatar","3","0.0010701500","0.0000000000","75.0000000000","0.0008026125","100.0000000000","0.0008026125","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","South Africa","3","0.0004462500","0.0000000000","75.0000000000","0.0003346875","100.0000000000","0.0003346875","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Music","Subscription Streaming","Bangladesh","1","0.0015753513","0.0000000000","75.0000000000","0.0011815135","100.0000000000","0.0011815135","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Music","Ad-Supported Streaming","India","4","0.0006701856","0.0000000000","75.0000000000","0.0005026392","100.0000000000","0.0005026392","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Saudi Arabia","6","0.0048352250","0.0000000000","75.0000000000","0.0036264188","100.0000000000","0.0036264188","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Cyprus","1","0.0003272500","0.0000000000","75.0000000000","0.0002454375","100.0000000000","0.0002454375","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Qatar","3","0.0015321250","0.0000000000","75.0000000000","0.0011490938","100.0000000000","0.0011490938","",""
"2025-04","2025-02","RoyalMotion IT","Salehin I Apon","Icarus Er Dana","Icarus Er Dana","7316479983168","HUDHU2519985","RMITSIA01","RMITSIA01","Track","2677767.0000000000","6105967","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Bangladesh","49","0.0001241000","0.0000000000","75.0000000000","0.0000930750","100.0000000000","0.0000930750","",""
"2025-04","2025-02","RoyalMotion IT","Protikkha","Artonaad - আর্তনাদ","Artonaad - আর্তনাদ","198676813441","QZNWR2426793","RMITPK01","RMITPK01","Track","2643468.0000000000","6039354","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Bangladesh","5","0.0002477750","0.0000000000","75.0000000000","0.0001858312","100.0000000000","0.0001858312","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Subscription Streaming","Bangladesh","9","0.0043428603","0.0000000000","75.0000000000","0.0032571452","100.0000000000","0.0032571452","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","United States","1","0.0151684044","0.0000000000","75.0000000000","0.0113763033","100.0000000000","0.0113763033","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Bangladesh","25","0.0016378050","0.0000000000","75.0000000000","0.0012283537","100.0000000000","0.0012283537","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Malaysia","63","0.0229807462","0.0000000000","75.0000000000","0.0172355596","100.0000000000","0.0172355596","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Kuwait","2","0.0000697000","0.0000000000","75.0000000000","0.0000522750","100.0000000000","0.0000522750","",""
